student_id,gender,study_time_hours,attendance_percent,sleep_hours,parental_education,internet_access,extracurricular_activities,part_time_job,previous_grade,final_exam_score,final_grade,at_risk,academic_level,attendance_risk_level,sleep_deviation,deviation_bin,high_workload_low_sleep,engagement_score
1,Male,4.0,98.0,6.5,Bachelors,Yes,Yes,No,76.9,100.0,A,0,excellent,Healthy,1.0,1.0,0,0.8054261760596182
2,Female,6.3,100.0,5.7,High School,Yes,Yes,Yes,75.5,100.0,A,0,excellent,Healthy,1.7999999999999998,2.0,1,0.9210526315789473
3,Male,4.9,85.3,7.9,Bachelors,Yes,No,Yes,88.5,97.3,A,0,excellent,Healthy,0.40000000000000036,0.0,0,0.41790870982766654
4,Male,2.6,77.5,8.0,,Yes,Yes,No,85.1,83.8,B,0,excellent,Healthy,0.5,0.0,0,0.5928427262847384
5,Male,2.2,89.6,4.6,Bachelors,Yes,No,Yes,61.8,68.3,D,1,average,Healthy,2.9000000000000004,3.0,1,0.3311985716503648
6,Female,4.2,78.2,5.7,High School,Yes,No,No,79.8,81.6,B,0,excellent,Healthy,1.7999999999999998,2.0,0,0.33484707343580195
7,Male,1.5,100.0,5.0,High School,Yes,Yes,Yes,58.6,69.6,D,1,average,Healthy,2.5,2.0,1,0.7105263157894738
8,Male,6.2,86.4,6.0,High School,Yes,Yes,No,78.4,88.0,B,0,excellent,Healthy,1.5,2.0,0,0.8163716814159293
9,Male,5.3,81.3,6.7,Bachelors,Yes,No,No,63.8,84.4,B,0,excellent,Healthy,0.7999999999999998,1.0,0,0.40595404440304295
10,Female,2.8,86.8,5.1,Bachelors,Yes,Yes,No,57.7,74.3,C,0,average,Healthy,2.4000000000000004,2.0,0,0.67019872690576
11,Male,0.9,71.5,5.7,High School,Yes,No,Yes,73.4,68.9,D,1,average,Moderate,1.7999999999999998,2.0,1,0.14070020183201368
12,Male,5.5,75.3,5.6,,Yes,Yes,No,37.9,76.7,C,0,average,Healthy,1.9000000000000004,2.0,0,0.7038115199503183
13,Male,3.3,97.0,7.0,Masters,Yes,Yes,Yes,49.0,82.6,B,0,excellent,Healthy,0.5,0.0,0,0.7673497904052166
14,Male,5.4,78.4,6.9,Bachelors,No,No,No,67.9,93.3,A,0,excellent,Healthy,0.5999999999999996,1.0,0,0.3889535786368577
15,Female,1.1,74.5,5.9,Masters,Yes,Yes,Yes,71.0,73.9,C,0,average,Moderate,1.5999999999999996,2.0,1,0.5049293587952182
16,Male,2.6,90.4,7.0,High School,Yes,Yes,No,65.6,84.8,B,0,excellent,Healthy,0.5,0.0,0,0.6879754696475704
17,Female,3.5,96.9,6.1,Bachelors,Yes,Yes,No,51.0,81.5,B,0,excellent,Healthy,1.4000000000000004,1.0,0,0.7753842571029343
18,Female,3.6,92.2,6.5,Bachelors,Yes,Yes,Yes,60.2,75.5,C,0,average,Healthy,1.0,1.0,1,0.7451094550535631
19,Female,2.8,95.0,8.8,Masters,No,Yes,No,74.7,89.7,B,0,excellent,Healthy,1.3000000000000007,1.0,0,0.7306707033069401
20,Male,4.4,77.4,8.4,Masters,No,No,Yes,77.0,92.8,A,0,excellent,Healthy,0.9000000000000004,1.0,0,0.3377192982456141
21,Female,1.9,70.8,5.2,High School,Yes,Yes,No,69.8,73.5,C,0,average,Moderate,2.3,2.0,0,0.5127309424002484
22,Male,3.3,100.0,7.8,,Yes,Yes,No,83.9,100.0,A,0,excellent,Healthy,0.2999999999999998,0.0,0,0.7894736842105262
23,Female,3.7,81.8,7.8,High School,No,No,No,74.8,73.4,C,0,average,Healthy,0.2999999999999998,0.0,0,0.33946592144077004
24,Female,4.3,82.5,5.4,PhD,No,Yes,No,61.0,71.2,C,0,average,Healthy,2.0999999999999996,2.0,0,0.7042772861356932
25,Female,4.6,98.3,7.8,,Yes,Yes,Yes,66.6,97.2,A,0,excellent,Healthy,0.2999999999999998,0.0,0,0.8339543549138332
26,Female,1.8,90.6,8.6,High School,Yes,No,No,53.2,76.0,C,0,average,Healthy,1.0999999999999996,1.0,0,0.3210293432696786
27,Female,1.2,89.6,5.5,Masters,Yes,No,Yes,68.7,78.7,C,0,average,Healthy,2.0,2.0,1,0.28733892252755777
28,Female,5.4,100.0,5.7,High School,No,No,No,83.3,97.4,A,0,excellent,Healthy,1.7999999999999998,2.0,0,0.5482456140350878
29,Female,4.0,78.6,8.0,Bachelors,Yes,No,No,78.2,84.2,B,0,excellent,Healthy,0.5,0.0,0,0.32902499611861513
30,Female,2.4,94.3,7.1,Bachelors,Yes,Yes,No,86.8,89.8,B,0,excellent,Healthy,0.40000000000000036,0.0,0,0.7079646017699114
31,Male,5.8,85.6,7.5,Bachelors,Yes,No,Yes,66.4,82.4,B,0,excellent,Healthy,0.0,0.0,0,0.4595947834187238
32,Male,3.7,87.7,7.2,,Yes,Yes,No,86.2,87.7,B,0,excellent,Healthy,0.2999999999999998,0.0,0,0.7163095792578792
